1,1
2,0.5
3,0.333333333
4,0.25
5,0.2
6,0.166666667
7,0.142857143
8,0.125
9,0.111111111
10,0.1
11,0.090909091
12,0.083333333
13,0.076923077
14,0.071428571
15,0.066666667
16,0.0625
17,0.058823529
18,0.055555556
19,0.052631579
20,0.05
21,0.047619048
22,0.045454545
23,0.043478261
24,0.041666667
25,0.04
26,0.038461538
27,0.037037037
28,0.035714286
29,0.034482759
30,0.033333333
31,0.032258065
32,0.03125
33,0.03030303
34,0.029411765
35,0.028571429
36,0.027777778
37,0.027027027
38,0.026315789
39,0.025641026
40,0.025
